ID,Name,Macroarea,Latitude,Longitude,Family,Subfamily,Genus
alb,Albanian,Eurasia,41.0,20.0,Indo-European,,Albanian
alt,Alsatian,Eurasia,48.5,7.5,Indo-European,,Germanic
ast,Asturian,Eurasia,43.25,-6.0,Indo-European,,Romance
blr,Belorussian,Eurasia,54.0,28.0,Indo-European,,Slavic
bos,Bosnian,Eurasia,43.0,18.0,Indo-European,,Slavic
bre,Breton,Eurasia,48.0,-3.0,Indo-European,,Celtic
bsq,Basque,Eurasia,43.0,-3.0,Basque,,Basque
bul,Bulgarian,Eurasia,42.5,25.0,Indo-European,,Slavic
cri,Crimean Tatar,Eurasia,45.0,34.0833333333,Altaic,,Turkic
crn,Cornish,Eurasia,50.3333333333,-5.0,Indo-European,,Celtic
ctl,Catalan,Eurasia,41.75,2.0,Indo-European,,Romance
cze,Czech,Eurasia,50.0,15.0,Indo-European,,Slavic
dsh,Danish,Eurasia,56.0,10.0,Indo-European,,Germanic
dut,Dutch,Eurasia,52.5,6.0,Indo-European,,Germanic
eng,English,Eurasia,52.0,0.0,Indo-European,,Germanic
est,Estonian,Eurasia,59.0,26.0,Uralic,Finno-Ugric,Finnic
far,Faroese,Eurasia,62.0,-7.0,Indo-European,,Germanic
fin,Finnish,Eurasia,62.0,25.0,Uralic,Finno-Ugric,Finnic
fre,French,Eurasia,48.0,2.0,Indo-European,,Romance
fri,Frisian,Eurasia,53.0,5.0,Indo-European,,Germanic
gae,Gaelic (Scots),Eurasia,57.0,-4.0,Indo-European,,Celtic
gag,Gagauz,Eurasia,46.3333333333,28.6666666667,Altaic,,Turkic
ger,German,Eurasia,52.0,10.0,Indo-European,,Germanic
glc,Galician,Eurasia,43.0,-8.0,Indo-European,,Romance
hun,Hungarian,Eurasia,47.0,20.0,Uralic,Finno-Ugric,Ugric
ice,Icelandic,Eurasia,65.0,-17.0,Indo-European,,Germanic
iri,Irish,Eurasia,53.0,-8.0,Indo-European,,Celtic
ita,Italian,Eurasia,43.0,12.0,Indo-European,,Romance
izh,Izhor,Eurasia,59.0,29.0,Uralic,Finno-Ugric,Finnic
krl,Karelian,Eurasia,64.0,32.0,Uralic,Finno-Ugric,Finnic
krm,Karaim,Eurasia,54.6666666667,24.9166666667,Altaic,,Turkic
ksu,Kashubian,Eurasia,54.0,18.0,Indo-European,,Slavic
kym,Krymchak,Eurasia,45.0,34.25,Altaic,,Turkic
lat,Latvian,Eurasia,57.0,24.0,Indo-European,,Baltic
ldn,Ladin,Eurasia,46.5833333333,11.9166666667,Indo-European,,Romance
lge,Low German,Eurasia,53.0,10.0,Indo-European,,Germanic
lit,Lithuanian,Eurasia,55.0,24.0,Indo-European,,Baltic
liv,Liv,Eurasia,56.8333333333,24.0,Uralic,Finno-Ugric,Finnic
lno,Ladino,Eurasia,40.0,33.0,Indo-European,,Romance
lux,Luxemburgeois,Eurasia,49.8333333333,6.16666666667,Indo-European,,Germanic
mcd,Macedonian,Eurasia,41.6666666667,21.75,Indo-European,,Slavic
mol,Moldavian,Eurasia,47.0,29.0,Indo-European,,Romance
nor,Norwegian,Eurasia,61.0,8.0,Indo-European,,Germanic
pol,Polish,Eurasia,52.0,20.0,Indo-European,,Slavic
rmc,Romansch,Eurasia,46.6666666667,9.16666666667,Indo-European,,Romance
rom,Romanian,Eurasia,46.0,25.0,Indo-European,,Romance
rus,Russian,Eurasia,56.0,38.0,Indo-European,,Slavic
scr,Serbian-Croatian,Eurasia,44.0,19.0,Indo-European,,Slavic
slo,Slovene,Eurasia,46.0,15.0,Indo-European,,Slavic
spa,Spanish,Eurasia,40.0,-4.0,Indo-European,,Romance
srb,Sorbian,Eurasia,51.5,14.0,Indo-European,,Slavic
srd,Sardinian,Eurasia,40.0,9.0,Indo-European,,Romance
svc,Slovincian,Eurasia,54.0,16.0,Indo-European,,Slavic
svk,Slovak,Eurasia,49.0,20.0,Indo-European,,Slavic
swe,Swedish,Eurasia,60.0,15.0,Indo-European,,Germanic
uby,Ubykh,Eurasia,43.6666666667,39.6666666667,Northwest Caucasian,,Northwest Caucasian
ukr,Ukrainian,Eurasia,49.0,33.0,Indo-European,,Slavic
urm,Urum,Eurasia,47.1166666667,37.55,Altaic,,Turkic
vep,Veps,Eurasia,60.0,35.0,Uralic,Finno-Ugric,Finnic
vot,Votic,Eurasia,59.5,30.0,Uralic,Finno-Ugric,Finnic
wel,Welsh,Eurasia,52.0,-3.0,Indo-European,,Celtic
ydd,Yiddish,Eurasia,52.0,23.0,Indo-European,,Germanic
