LANG_ID,53A,97A,87A,83A,82A,81A,95A,138A,143G,112A,85A,143A,70A,143E,143F,16A,15A,14A,144A,71A,88A,116A,86A,90A,89A,96A,69A,51A,26A,72A,37A,92A,33A,101A
rus,7.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0
cze,7.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,8.0,2.0,20.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,5.0,6.0,2.0,2.0
ger,6.0,5.0,1.0,3.0,1.0,7.0,5.0,2.0,4.0,2.0,2.0,6.0,2.0,1.0,1.0,3.0,4.0,1.0,16.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,4.0,1.0,6.0,2.0,1.0
iri,7.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,8.0,2.0,9.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,6.0,6.0
nor,7.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,4.0,4.0,1.0,16.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,6.0,2.0,1.0
ita,7.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,6.0,3.0,1.0,2.0,3.0,1.0,6.0,2.0,1.0,1.0,4.0,2.0,9.0,2.0,4.0,1.0,6.0,2.0,2.0
fre,7.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,15.0,2.0,1.0,1.0,5.0,3.0,1.0,19.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,7.0,2.0,4.0,1.0,1.0,2.0,1.0
fin,7.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,6.0
swe,7.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,4.0,4.0,1.0,16.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,9.0,2.0,4.0,3.0,6.0,2.0,1.0
est,7.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0
eng,7.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,9.0,2.0,4.0,1.0,6.0,2.0,1.0
dut,6.0,5.0,1.0,3.0,1.0,7.0,5.0,2.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,3.0,4.0,1.0,16.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,2.0,9.0,2.0,4.0,1.0,6.0,2.0,1.0
dsh,7.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,4.0,6.0,1.0,16.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,6.0,2.0,1.0
pol,7.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,5.0,1.0,2.0,3.0
lat,7.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,8.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0
lit,7.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,6.0,5.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,5.0,1.0,2.0,2.0
spa,7.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,7.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,9.0,2.0,4.0,1.0,6.0,2.0,2.0
